CandidateId,len,year_median,year_last
576620,1,1999,1999
614684,1,1994,1994
614712,1,1995,1995
614734,1,2007,2007
614735,1,2011,2011
616907,1,1994,1994
617167,1,1996,1996
617186,1,2012,2012
617361,1,2005,2005
617388,1,1994,1994
617400,1,2000,2000
617448,2,1991,1991
618823,1,2000,2000
618834,1,2000,2000
619464,1,2008,2008
622953,2,2016,2016
623293,2,1996,1996
623301,1,1998,1998
623311,1,1995,1995
623354,1,-1,-1
623367,1,1997,1997
623399,1,2005,2005
623403,1,1991,1991
623420,1,1995,1995
623631,1,1991,1991
623768,1,1999,1999
623781,1,1999,1999
623795,1,1995,1995
623808,1,2013,2013
624799,1,2004,2004
625464,1,2001,2001
625473,1,2008,2008
625501,1,1999,1999
625513,1,2001,2001
625516,1,1993,1993
625708,1,1992,1992
625718,1,1997,1997
631111,1,1995,1995
631763,1,1999,1999
631779,1,1993,1993
631789,1,2002,2002
631913,2,1995,1995
631920,1,1989,1989
631924,2,1993,1993
631930,1,2000,2000
631959,1,2006,2006
631992,1,1990,1990
632007,1,1997,1997
632847,2,2002,2002
632848,1,2011,2011
633527,1,1985,1985
634000,1,1999,1999
634058,2,2017,2017
634298,1,1988,1988
634375,1,1998,1998
634471,1,1999,1999
634568,1,2004,2004
635194,1,2010,2010
636024,1,2001,2001
636853,1,2013,2013
636970,1,1997,1997
637958,1,1988,1988
638001,1,1987,1987
638038,1,1995,1995
638042,1,1999,1999
638047,1,2002,2002
638070,1,2011,2011
640167,3,2010,2010
640201,1,2000,2000
642217,1,2005,2005
642234,1,2005,2005
642248,1,2007,2007
642253,1,1987,1987
642257,1,2004,2004
642261,1,2005,2005
642262,1,-1,-1
642281,1,2002,2002
642289,1,1992,1992
642297,1,1987,1987
642299,1,1998,1998
642301,1,1986,1986
642323,1,1996,1996
642326,2,2006,2006
642332,1,2003,2003
643566,1,1991,1991
644079,2,1990,1990
644083,1,1992,1992
644090,1,1987,1987
644092,1,2000,2000
644695,1,1993,1993
646405,1,2005,2005
646444,1,1984,1984
646447,1,2002,2002
646463,1,1996,1996
646577,1,2012,2012
646795,2,2016,2016
646797,1,2000,2000
646798,1,1996,1996
652614,1,2012,2012
652632,1,1990,1990
652698,1,1982,1982
652707,1,2001,2001
652714,1,1996,1996
652725,1,1989,1989
658988,1,1995,1995
659053,1,2012,2012
659230,2,2009,2009
659232,1,2011,2011
659315,1,2015,2015
659324,1,2008,2008
659329,1,2002,2002
659335,1,1999,1999
659465,1,2015,2015
659474,1,2016,2016
659517,1,2012,2012
662416,2,1994,1999
662428,1,1990,1990
663123,1,2005,2005
663131,1,2005,2005
663134,2,1993,1998
663148,1,1989,1989
663153,1,2002,2002
663158,1,2009,2009
663169,3,1988,1988
663182,1,2006,2006
663223,1,-1,-1
663263,1,2005,2005
663269,2,1992,1992
663277,1,1994,1994
663281,1,1995,1995
663283,2,2016,2016
663291,1,2001,2001
663366,1,1992,1992
663371,1,1990,1990
663382,1,1989,1989
664578,1,1987,1987
670355,1,1996,1996
670415,1,2015,2015
670460,5,2009,1994
670477,1,1997,1997
670490,1,2001,2001
670495,1,2009,2009
670500,1,1990,1990
670574,1,2007,2007
670598,1,1995,1995
670764,1,1997,1997
670800,1,1999,1999
670841,1,1992,1992
670848,1,1989,1989
670854,4,2004,2002
670868,2,2005,2005
670871,1,1990,1990
671237,1,2000,2000
671239,1,1996,1996
671244,1,2000,2000
671250,1,2002,2002
