CandidateId,Period,len
7415,20,2
7416,3,1
7417,61,5
7420,191,1
7421,23,2
7422,144,3
7423,132,3
7425,122,1
7435,13,3
7445,13,2
7450,89,3
7452,28,5
7453,80,3
7454,110,6
7457,14,1
7458,20,3
7459,121,5
7460,66,1
7461,43,1
8489,66,3
8490,149,1
8494,210,6
8999,292,1
9001,209,1
9003,110,1
9005,146,3
9007,195,4
9009,249,3
9011,135,2
9013,140,1
9015,162,5
9017,237,1
9019,81,4
9021,242,8
9025,204,3
9027,24,3
9029,35,1
9031,153,1
9033,109,2
9035,98,2
11014,341,3
11016,164,6
11018,76,1
11020,79,1
11114,43,1
11116,231,2
11120,179,3
11122,223,2
11124,300,2
11126,218,1
11128,171,4
11130,320,5
12573,125,4
12575,155,5
12665,23,2
12669,141,1
12673,225,3
12677,379,14
12679,243,2
12681,58,4
12683,216,4
12685,169,1
12687,254,7
12689,192,5
12797,265,1
12798,117,1
12800,157,1
12802,240,1
12804,219,1
12806,219,2
12809,29,1
12813,46,1
12815,215,4
12817,13,2
12821,302,4
12853,150,5
12855,276,4
12857,141,2
12859,146,1
12861,277,1
12864,348,5
12867,143,1
12869,288,3
12873,55,1
14924,68,2
14926,50,5
14929,80,2
15057,42,1
15059,185,3
15060,54,3
15063,246,2
15064,207,4
15122,129,5
15125,46,3
15127,112,5
15143,16,1
15144,71,3
23669,282,5
23678,150,1
23679,150,1
23680,32,2
23681,157,2
23682,164,1
576620,60,2
614684,169,3
614688,108,1
614712,174,3
614734,194,4
614735,117,9
616907,357,1
617167,432,3
617176,16,1
617226,193,2
617236,126,5
617353,108,1
617361,182,3
617388,232,1
617400,235,2
617448,236,2
618823,154,2
618832,96,1
618834,66,1
619464,189,6
622953,1,1
623293,334,12
623299,142,5
623301,243,3
623311,214,1
623324,199,4
623338,205,5
623347,140,2
623354,132,4
623359,67,2
623367,272,4
623371,89,1
623376,385,1
623399,79,1
623403,105,1
623407,148,1
623412,46,2
623417,134,3
623420,122,6
623768,138,6
623770,26,1
623777,795,3
623781,92,1
623789,116,1
623795,94,2
623808,75,1
624799,59,2
625456,138,2
625464,197,6
625473,88,3
625493,103,1
625501,137,1
625513,67,2
625516,70,2
625700,112,1
625708,105,1
625718,178,1
631111,56,2
631125,187,5
631763,87,3
631779,31,2
631789,202,7
631905,272,1
631913,25,1
631920,16,1
631924,130,2
631930,100,1
631959,103,9
631962,48,3
631992,108,1
632003,102,1
632007,38,2
632847,54,3
632848,152,1
632850,426,1
633527,220,2
633825,17,1
633838,168,3
633991,138,2
634000,222,2
634003,163,1
634058,258,1
634062,119,2
634298,72,2
634314,314,10
634375,155,1
634379,58,1
634391,168,1
634471,189,1
634530,142,1
634542,86,1
634568,196,2
635174,138,2
635194,71,5
636024,132,1
636853,39,2
636970,128,3
637167,35,2
637958,354,3
638001,96,1
638006,124,2
638038,166,3
638042,75,1
638046,103,1
638047,107,4
638048,50,2
638050,162,1
638056,301,1
638064,207,3
638070,141,1
638074,127,1
638079,169,1
640167,43,2
640201,193,3
642217,94,1
642220,42,1
642234,225,7
642243,106,1
642248,47,3
642257,182,5
642261,81,3
642262,278,2
642265,117,1
642270,31,1
642274,48,1
642278,351,1
642281,200,1
642285,59,2
642289,181,3
642292,219,5
642297,123,4
642299,285,3
642301,91,1
642306,49,1
642312,217,1
642321,67,1
642323,155,4
642326,37,1
642332,273,7
642337,52,1
642342,24,1
643566,36,1
643676,192,4
644074,106,6
644079,190,1
644083,170,1
644090,37,1
644092,133,2
644695,93,3
646405,56,5
646444,345,8
646447,99,2
646577,40,2
646782,169,2
646795,101,7
646797,364,2
646798,49,2
652614,34,2
652632,49,2
652698,148,1
652707,84,1
652714,40,1
652725,130,4
658988,90,1
658992,108,2
658996,98,3
658998,85,2
659053,30,2
659230,133,2
659232,185,6
659315,25,2
659324,13,1
659329,150,5
659335,166,2
659465,121,3
659474,14,1
659517,56,7
662107,15,1
662416,147,3
662428,363,10
663118,243,3
663123,93,4
663129,37,1
663131,300,5
663134,211,2
663138,375,2
663141,211,1
663146,113,1
663148,299,6
663153,119,3
663158,152,3
663169,318,13
663182,23,1
663211,162,2
663223,50,1
663228,24,1
663256,293,1
663263,169,1
663269,141,1
663277,86,2
663281,146,3
663283,124,2
663291,128,5
663362,261,1
663363,30,1
663366,434,6
663371,385,4
663374,102,2
663381,148,2
663382,419,3
663390,73,1
664578,251,3
667511,83,2
670355,29,1
670415,308,9
670453,130,7
670455,77,1
670460,254,3
670477,287,5
670483,177,1
670490,244,2
670495,152,6
670500,200,3
670523,110,4
670557,106,4
670570,105,1
670574,157,2
670596,25,1
670598,212,3
670764,94,1
670800,142,4
670803,70,1
670829,332,1
670834,220,16
670841,87,1
670844,48,1
670848,264,1
670854,218,10
670868,182,2
670869,81,2
670871,365,1
670873,58,1
671237,185,3
671244,52,2
671253,124,1
671258,190,3
671259,222,2
671264,58,3
671267,54,3
671270,19,1
671287,101,4
671290,243,2
671291,209,6
671296,133,3
671300,241,1
671303,240,4
671306,159,3
671309,382,2
671318,66,5
671321,174,2
671323,150,2
671328,283,4
671331,36,1
671333,189,2
671336,131,4
671337,20,1
671341,162,1
671344,75,4
671347,122,3
671357,34,2
671358,72,2
671362,228,1
671369,153,3
671374,206,3
671379,53,1
673659,67,1
673660,63,1
673663,154,6
673665,191,2
673667,153,1
677456,79,5
677462,248,4
678426,91,4
680341,319,1
680363,103,3
680366,253,3
680371,107,1
680374,227,5
680381,99,1
680387,119,1
680410,84,1
680416,234,4
680417,150,1
680421,170,1
680426,54,3
680431,62,2
680434,226,3
682192,251,11
682221,72,2
686465,293,3
686466,40,2
686469,127,2
686472,29,1
687325,96,3
688079,41,1
688092,201,6
688103,24,1
688114,132,3
688120,140,2
688122,65,1
688127,205,2
688134,239,3
688142,295,1
688144,157,1
688151,52,1
688154,114,1
