JobId,Status,Region,name_coded,shedule
163,4,Санкт-Петербург,экспедитор,
211,4,Санкт-Петербург,Водитель,
232,2,Санкт-Петербург,Водитель,
288,2,Санкт-Петербург,Водитель,
292,4,Санкт-Петербург,Водитель,
369,2,Санкт-Петербург,Водитель,
14103,2,Москва,Водитель,
72644,2,Москва,свое авто,
78524,2,Москва,свое авто,3/1
107861,2,Москва,свое авто,
108161,2,Москва,авто компании,
107910,2,Москва,свое авто,
108600,2,Москва,свое авто,
105343,2,Москва,курьер,
109087,2,Москва,свое авто,
109109,2,Москва,свое авто,
6879,2,Санкт-Петербург,экспедитор,
23397,1,Санкт-Петербург,курьер грузовой,
112950,2,Москва,авто компании,
112951,2,Москва,свое авто,
128271,2,Москва,свое авто,
129116,2,Москва,свое авто,
45177,1,Санкт-Петербург,Водитель,
166935,2,Москва,свое авто,
168394,2,Москва,свое авто,
168396,2,Москва,экспедитор,
116332,2,Москва,свое авто,
116968,3,Москва,свое авто,
116353,2,Москва,авто компании,
121414,2,Москва,курьер свое авто,
60725,2,Санкт-Петербург,Водитель,
64502,2,Санкт-Петербург,грузовой,
68409,2,Санкт-Петербург,Водитель,5/2
158366,2,Екатеринбург,курьер,
132365,2,Москва,авто компании,
132369,2,Москва,Водитель,6/1
132370,2,Москва,Водитель,6/1
175010,2,Екатеринбург,Водитель,
137615,2,Москва,Водитель,
142187,2,Москва,Водитель,6/1
217285,2,Екатеринбург,Водитель,5/2
9635,2,Москва,Водитель,
83003,2,Санкт-Петербург,Водитель,4/2
286712,2,Екатеринбург,экспедитор,
147195,2,Москва,Водитель,
148082,2,Москва,авто компании,
148264,2,Москва,свое авто,
196137,2,Москва,авто компании,
196516,2,Москва,свое авто,
196517,2,Москва,авто компании,
196524,2,Москва,авто компании,
92293,2,Санкт-Петербург,грузовой,
93870,2,Санкт-Петербург,Водитель,
147931,2,Москва,свое авто,2/2
365732,1,Санкт-Петербург,грузовой,
293625,1,Екатеринбург,курьер свое авто,
128247,4,Санкт-Петербург,Водитель,
148293,2,Москва,курьер,
147841,2,Москва,курьер,
